"","popsize","genotype","media","mat","sd.ls","medianLS","Delta_LL","AvgLS","gompLoglik","gompRate","gompShape","weibLogLik","weibScale","weibShape"
"15","60","BY4742","YPD","MATalpha","7.97841367351698","30.5","-0.204647257232097","29.85","-207.751106372981","0.00113426079378394","0.144698683422173","-207.955753630213","32.7995233437726","4.47018603726413"
"16","40","BY4741","YPD","MATa","9.84547273285206","29.5","-1.06396276398519","28.7","-146.671644195297","0.00295506561812453","0.110015451633196","-147.735606959282","31.9463402852972","3.35678678168737"
"17","290","BY4742","YPD","MATalpha","9.55528815882152","27","22.3817345688303","27.1689655172414","-1086.51486953755","0.00582711305468882","0.088285681019148","-1064.13313496872","30.3761420204487","3.07360825078453"
"18","40","BY Matalpha A1","YPD","MATalpha","9.35808302745375","28","-0.572287908081478","26.625","-146.799277143078","0.00489481834728113","0.0995153513085297","-147.37156505116","29.5170471035235","3.08391396332477"
"19","40","BY4742","YPD","MATalpha","11.3903918124455","26.5","-1.14073128683151","25.05","-152.344760906915","0.00802112260977761","0.0805212647800418","-153.485492193746","28.1869500654008","2.3659149998705"
"20","60","BY4742","YPD","MATalpha","8.91953990351495","23","1.28895054399945","25.0333333333333","-217.536711903425","0.00505943514619156","0.106293817961651","-216.247761359425","27.9445355259218","3.0870697941178"
"21","40","BY4742","YPD","MATalpha","11.3813838102358","33","1.67139854076763","33.55","-154.879308587944","0.00333339998309575","0.0844047613420013","-153.207910047176","37.4177988186005","3.31747105302043"
"22","40","WT BY Parent","YPD",NA,"13.9936798921183","30.5","3.57393429130741","33.85","-164.077013808044","0.00666927876294397","0.0563757210147674","-160.503079516737","38.1899008015692","2.63222063878681"
"23","40","WT","YPD","MATa","5.80312692014245","12","0.978188119958944","12.625","-126.64834669647","0.0196414721165846","0.139715114089689","-125.670158576511","14.2474819947923","2.35511536438246"
"24","80","BY4742","YPD","MATalpha","10.9070802112287","18","7.54090679862173","21.1875","-304.832150826318","0.0174436651801209","0.0584420808984399","-297.291244027696","24.0611770505497","2.10243777708945"
"25","80","BY4742","YPD","MATalpha","10.2289533844755","27","-1.96172404280725","26.5375","-297.805659344524","0.00497736885282831","0.0972315838658715","-299.767383387332","29.6983088934723","2.8543401429431"
"26","40","BY4742","YPD","MATalpha","7.2021631365968","24.5","0.595000840464763","23.225","-135.464191560043","0.00293783651063092","0.148266352049483","-134.869190719578","25.7724500266377","3.71018781308207"
"27","40","WT BY Parent","YPD",NA,"9.66751764600911","26.5","1.66878598358031","26.775","-148.598590464579","0.00524857382411763","0.0946716775829044","-146.929804480999","29.9276376020586","3.05990297287184"
"28","40","BY4742","YPD","MATalpha","11.4605231007834","26.5","0.291443541678404","26.8","-153.082167583326","0.00641624558934446","0.0829055246073613","-152.790724041648","30.2568181462343","2.60566857772462"
"29","80","BY4742","YPD","MATalpha","10.9477397817592","28","-3.30798119119697","26.9125","-301.971027607193","0.0054668321810683","0.0904567829475093","-305.27900879839","30.1712327616594","2.69434389810493"
"30","37","BY4742","YPD","MATalpha","10.9451951694475","15","-0.0248589403704784","15.3783783783784","-135.086036209299","0.0381121357408357","0.0400723033340449","-135.110895149669","16.900220188459","1.41683658808441"
"31","40","WT","YPD",NA,"10.1621469566835","26.5","1.04952636093796","27.25","-149.597508179651","0.00495901295206794","0.094187553855781","-148.547981818713","30.5478973535825","3.00409175669668"
"32","40","WT BY Parent","YPD",NA,"9.00907661963542","25.5","-0.358737158681009","24.625","-143.289472903001","0.00415086897264166","0.117855899821638","-143.648210061682","27.5806350682028","3.13304126170946"
