"","genotype","mat","media","temp","n","avgLS","StddevLS","medianLS","gompShape","gompRate","gompLogLik","gompAIC","weibShape","weibScale","weibLogLik","weibAIC"
"1","BY4741","MATa","YPD",30,7572,27.4627575277338,10.1502417162225,27,0.0838324752109333,0.0061713267321749,-28664.3396905031,57332.6793810061,2.93412172843107,30.7560416765467,-28264.0341540269,56532.0683080538
"2","tma29","MATa","YPD",30,100,26.14,9.21244217941643,26,0.0854641043474646,0.0069690912163007,-373.223871594967,750.447743189934,3.05285677321184,29.2325755912516,-362.828080692035,729.656161384071
"3","yea6","MATa","YPD",30,39,26.2820512820513,11.4637844351788,26,0.0635259391033216,0.0103728595494821,-152.059941405261,308.119882810521,2.49333971355057,29.6824322815566,-148.614754663395,301.22950932679
"4","ypr011c","MATa","YPD",30,40,24.275,9.49220327831864,23.5,0.0938084312142034,0.00701022046704202,-147.327468417223,298.654936834446,2.78569563814259,27.1858265681653,-146.511519343113,297.023038686227
"5","mir1","MATa","YPD",30,80,27.2,10.3280372980726,26,0.0784758820914832,0.00707440725639918,-305.338209665728,614.676419331456,2.84385360611938,30.5278671611283,-298.795923482343,601.591846964687
"6","idh1","MATa","YPD",30,220,32.6590909090909,12.5358721473211,33,0.0683185977770272,0.00543897263011269,-876.247194970291,1756.49438994058,2.83492624523309,36.629279180906,-866.729786366328,1737.45957273266
"7","sft2","MATa","YPD",30,20,25.35,11.1651478411972,25,0.0849735035142195,0.00715235742500255,-75.7246989555418,155.449397911084,2.51092806764869,28.5415331368426,-75.9576560358393,155.915312071679
"8","etr1","MATa","YPD",30,40,16.075,7.65066613489912,14.5,0.0784189755608652,0.0231012155086827,-140.294236782326,284.588473564651,2.25361393416242,18.1977037557574,-135.099433006619,274.198866013239
"9","flx1","MATa","YPD",30,80,29.175,11.2820850483399,30.5,0.0874561059006313,0.00464459184224659,-305.653726643124,615.307453286249,2.84126414275915,32.642738076735,-307.793436718674,619.586873437349
"10","mrpl4","MATa","YPD",30,80,24.7375,8.14853213464653,24,0.0906390195930433,0.00745457643965223,-292.545317183588,589.090634367176,3.18327465471388,27.5515066842951,-281.31284400119,566.62568800238
"11","fob1","MATalpha","YPD",30,4738,32.8309413254538,12.7115045656318,33,0.0731560089160196,0.00466567942975567,-18789.6865002511,37583.3730005022,2.82928701152795,36.8297191419438,-18753.3590647104,37510.7181294208
"12","atg1","MATalpha","YPD",30,782,27.5716112531969,11.4163152210511,26,0.0690495735065246,0.00824788701939011,-3045.10037666285,6094.2007533257,2.59273000769992,31.0388613018783,-3000.78632368616,6005.57264737232
"13","atg8","MATalpha","YPD",30,85,31.9294117647059,10.6343874331544,34,0.102015097643256,0.00245061069523812,-319.101553576615,642.20310715323,3.46627919240738,35.552235248862,-320.215650583431,644.431301166862
"14","atg1 fob1","MATalpha","YPD",30,240,34.5,13.3090084947366,36,0.0725827267273628,0.00408274557311915,-959.2515651703,1922.5031303406,2.86807422487828,38.6930672390493,-960.437806398011,1924.87561279602
"15","atg8 fob1","MATalpha","YPD",30,80,33.2,11.2749301830615,35,0.102484796059189,0.0020738967053747,-302.066460335554,608.132920671107,3.42160661289739,36.9033830447561,-306.937441923916,617.874883847832
"16","BY4742","MATalpha","0.05% D",30,4690,27.1756929637527,9.95838246491485,26.5,0.0784815558916481,0.00719078629940358,-17832.1496043429,35668.2992086859,2.91995846399512,30.443601533055,-17401.2315704532,34806.4631409065
"17","fob1","MATalpha","0.05% D",30,1490,39.1080536912752,13.3339501485974,40,0.0720859053257186,0.00288637957783412,-6002.63317856548,12009.266357131,3.2598055116886,43.587455677932,-5973.98695832762,11951.9739166552
"18","atg1","MATalpha","0.05% D",30,140,22.05,8.43112168988447,20,0.0953114527928963,0.00893446995096116,-506.270939368418,1016.54187873684,2.8269279596012,24.7913548576897,-493.720019327111,991.440038654222
"19","atg8","MATalpha","0.05% D",30,80,25.85,8.69322448224674,25.5,0.106773518617071,0.00458469796714708,-289.999263346758,583.998526693516,3.29426577409427,28.8554956807812,-285.250299189632,574.500598379264
"20","atg1 fob1","MATalpha","0.05% D",30,80,34.1625,11.5171240146844,36.5,0.100075195845057,0.00199152038785067,-304.00304206986,612.006084139719,3.4452448791895,37.9683755715153,-308.610264327501,621.220528655002
"21","atg8 fob1","MATalpha","0.05% D",30,80,29.0875,11.1255137841821,28,0.0793488388627784,0.00569766206722268,-308.775603782322,621.551207564644,2.87779056188009,32.7079744789342,-304.054482080254,612.108964160509
"22","BY4742","MATalpha","0.5% D",30,579,27.3177892918826,9.94983322792316,27,0.0931405577528203,0.00507888717033485,-2164.45774673738,4332.91549347476,3.0215465603247,30.5714562693096,-2149.26400765358,4302.52801530715
"23","BY4742","MATalpha","0.1% D",30,338,27.8609467455621,10.7712201019106,27,0.065284529210031,0.00891995965174828,-1318.39437544224,2640.78875088449,2.74413690767187,31.3297853710567,-1274.99478926269,2553.98957852539
"24","RM","MATa","YPD",30,379,25.4538258575198,8.17790641383903,26,0.107614924218511,0.00486560617090573,-1359.22756397892,2722.45512795783,3.39110060932158,28.2398435174858,-1338.09229436455,2680.18458872911
"25","""Parent"" 15177 BY MAT a","MATa","YPD",30,0,0,0,0,0,0,0,0,0,0,0,0
"26","8A Spore","MATa","YPD",30,40,39.475,11.1608002194494,42,0.116931159303089,0.000648490961079778,-149.00020006907,302.000400138141,4.4437723387939,43.4506873950171,-151.388133755503,306.776267511006
"27","8E Spore","MATa","YPD",30,40,36.175,14.0254119186275,38,0.0813026206075847,0.00271099358483518,-158.772710179363,321.545420358726,2.76132606778377,40.1076288503545,-164.740298793956,333.480597587913
"28","8C Spore","MATa","YPD",30,40,23.025,7.01093468292247,24,0.142628384728957,0.00345723437784355,-135.331949548187,274.663899096373,3.73627717834796,25.4805656711573,-134.133281722455,272.266563444909
"29","8F Spore","MATa","YPD",30,40,24.675,9.47435810693588,24,0.0906202735687959,0.00713296294717591,-148.278931501673,300.557863003345,2.86283848036817,27.7447313178565,-145.344832589876,294.689665179752
"30","8A RM Spore backcross fob1∆ rDNA spore","MATa","YPD",30,20,45.8,10.5061385565021,46.5,0.111306268604447,0.000396926394704885,-74.6786502724613,153.357300544923,5.3061266402259,49.8094211600501,-74.4540274503743,152.908054900749
"31","8E RM Spore backcross fob1∆ rDNA spore","MATa","YPD",30,20,48.35,11.6315134554003,51,0.118063461471339,0.000219303011722011,-74.3338451128644,152.667690225729,5.54412072751781,52.3944178958991,-75.8165005179455,155.633001035891
"32","8C BY Spore backcross fob1∆ rDNA spore","MATa","YPD",30,20,9.5,3.05217782471536,9,0.315744744480241,0.0103562707440508,-51.4117648810513,106.823529762103,3.50590670303069,10.5798586843183,-50.0030247096218,104.006049419244
"33","8F BY Spore backcross fob1∆ rDNA spore","MATa","YPD",30,20,10.35,3.43779304970959,11,0.332810130794658,0.00650478291090533,-51.8126629218533,107.625325843707,3.58931198963835,11.5014370332139,-52.3494982139385,108.698996427877
"34","8A RM Spore backcross rDNA sir2∆ spore","MATa","YPD",30,20,17.05,5.9247473852433,16.5,0.125268745185461,0.0115770309586347,-66.4580027004533,136.916005400907,3.0452606861212,19.0524344462408,-63.4003407219106,130.800681443821
